;Time;Robot;Move
766;195.686;robot1;a_unknown
767;195.687;robot1;a_unknown
768;195.688;robot1;a_unknown
769;195.689;robot1;a_unknown
770;195.69;robot1;a_unknown
771;195.691;robot1;a_unknown
772;195.692;robot1;a_unknown
773;195.693;robot1;a_unknown
774;195.695;robot1;a_unknown
775;195.696;robot1;a_unknown
776;195.697;robot1;a_unknown
777;195.698;robot1;a_unknown
778;195.699;robot1;a_unknown
779;195.7;robot1;a_unknown
780;195.701;robot1;a_unknown
781;195.702;robot1;a_unknown
782;195.703;robot1;a_unknown
783;195.704;robot1;a_unknown
784;195.705;robot1;a_unknown
785;195.706;robot1;a_unknown
786;195.707;robot1;a_unknown
787;195.711;robot1;a_unknown
788;195.712;robot1;a_unknown
789;195.713;robot1;a_unknown
790;195.714;robot1;a_unknown
791;195.715;robot1;a_unknown
792;195.716;robot1;a_unknown
793;195.717;robot1;a_unknown
794;195.718;robot1;a_unknown
795;195.719;robot1;a_unknown
796;195.721;robot1;a_unknown
797;195.722;robot1;a_unknown
798;195.723;robot1;a_unknown
799;195.724;robot1;a_unknown
800;195.725;robot1;a_unknown
801;195.728;robot1;a_unknown
802;195.729;robot1;a_unknown
803;195.73;robot1;a_unknown
804;195.731;robot1;a_unknown
805;195.732;robot1;a_unknown
806;195.733;robot1;a_unknown
807;195.734;robot1;a_unknown
808;195.735;robot1;a_unknown
809;195.737;robot1;a_unknown
810;195.738;robot1;a_unknown
811;195.739;robot1;a_unknown
812;195.74;robot1;a_unknown
813;195.741;robot1;a_unknown
814;195.742;robot1;a_unknown
815;195.743;robot1;a_unknown
816;195.744;robot1;a_unknown
817;195.745;robot1;a_unknown
818;195.746;robot1;a_unknown
819;195.747;robot1;a_unknown
820;195.748;robot1;a_unknown
821;195.749;robot1;a_unknown
822;195.75;robot1;a_unknown
823;195.751;robot1;a_unknown
824;195.752;robot1;a_unknown
825;195.753;robot1;a_unknown
826;195.754;robot1;a_unknown
827;195.755;robot1;a_unknown
828;195.756;robot1;a_unknown
829;195.757;robot1;a_unknown
830;195.758;robot1;a_unknown
831;195.759;robot1;a_unknown
832;195.76;robot1;a_unknown
833;195.761;robot1;a_unknown
834;195.762;robot1;a_unknown
835;195.763;robot1;a_unknown
836;195.764;robot1;a_unknown
837;195.765;robot1;a_unknown
838;195.767;robot1;a_unknown
839;195.768;robot1;a_unknown
840;195.769;robot1;a_unknown
841;195.77;robot1;a_unknown
842;195.771;robot1;a_unknown
843;195.772;robot1;a_unknown
844;195.773;robot1;a_unknown
845;195.774;robot1;a_unknown
846;195.775;robot1;a_unknown
847;195.776;robot1;a_unknown
848;195.777;robot1;a_unknown
849;195.779;robot1;a_unknown
850;195.781;robot1;a_unknown
851;195.782;robot1;a_unknown
852;195.783;robot1;a_unknown
853;195.784;robot1;a_unknown
854;195.785;robot1;a_unknown
855;195.786;robot1;a_unknown
856;195.787;robot1;a_unknown
857;195.788;robot1;a_unknown
858;195.789;robot1;a_unknown
859;195.79;robot1;a_unknown
860;195.791;robot1;a_unknown
861;195.792;robot1;a_unknown
862;195.793;robot1;a_unknown
863;195.794;robot1;a_unknown
864;195.796;robot1;a_unknown
865;195.797;robot1;a_unknown
866;195.798;robot1;a_unknown
867;195.799;robot1;a_unknown
868;195.8;robot1;a_unknown
869;195.801;robot1;a_unknown
